"StrategyName"	"UD_Effects"	"UD_Costs"	"D_Effects"	"D_Costs"	"ICER"
NA	-12092.3303987592	525809100	-1218.97585983177	78903343.4257819	NA
NA	-7979.54865802563	546176400	-965.086112178251	65765512.218778	NA
NA	-17249.9699409684	413178200	-1612.38527877184	46262882.8713054	NA
NA	-16886.7312087579	650892200	-1488.07074848103	126286853.821567	NA
NA	-8219.05750149855	520595400	-937.361735665254	93924024.2060731	NA
NA	-19690.2282760694	534888100	-1686.37101432474	75826791.7768739	NA
NA	-11033.1166225805	404221600	-1079.22368082386	54912961.7437068	NA
NA	-24180.8895286039	419084300	-1925.16922090371	45128271.0223052	NA
NA	-31271.2825633858	661377800	-2228.58311975283	119839641.633055	NA
NA	-16456.0093236285	527089600	-1346.73854153413	90296511.689423	NA
NA	-32531.8167156707	542148800	-2268.80242363644	72717540.8734099	NA
NA	-17317.4229307881	408078600	-1391.92611179831	53444070.1995783	NA
NA	-31607.1373242101	423502500	-2229.9135215741	43905769.5359276	NA
NA	55682.8154677516	4314292900	2485.40971197277	827903641.086646	NA
NA	56461.9439377748	3719490800	2520.20532330517	613904017.621217	NA
NA	55868.5821261394	3125821800	2522.96802052505	446535572.353196	NA
NA	47521.7377770891	2531387700	1876.25261212522	314677299.201659	NA
NA	26126.3943420312	1934644100	454.871203903618	210092600.007151	NA
NA	42404.8834672958	2194354100	1746.01724036252	430507898.85351	NA
NA	43010.1264631866	1958331600	1782.5088958088	325381446.431735	NA
NA	41386.8029487724	1600068100	1706.88591673813	235137384.912642	NA
NA	36113.1395332442	1363461700	1273.69276352726	171793891.776483	NA
NA	16782.4031863239	1000909900	41.4259575679898	112831922.448238	NA
NA	29517.7399481164	1481990200	1075.72051995408	297214740.455875	NA
NA	32673.9124528079	1368697800	1237.76353273549	228592843.247928	NA
NA	29907.8630216617	1127931300	1052.71382021465	166846775.156309	NA
NA	23804.9694518471	886785200	702.715547034357	117435329.463672	NA
NA	10091.2397251429	769233300	-316.037880410266	85856006.4288581	NA
NA	18562.931109387	1122048800	514.933617634277	229993307.558933	NA
NA	21505.2811253618	1006321200	597.532253541096	175025960.305121	NA
NA	19659.8802633686	890016900	513.4783613826	132299541.079286	NA
NA	17706.8286619449	773433700	314.658528926229	99125221.3780105	NA
NA	-391.175407515548	523172600	-739.097615826096	62709355.3789825	NA
NA	9133.3725555623	1010021300	-100.112140671248	196936677.537118	NA
NA	9545.22096663908	891178400	-95.721084715391	149837461.026329	NA
NA	9662.27406531171	772243000	-85.8284249095886	112991262.454133	NA
NA	8900.40892351739	653767200	-113.459768199958	84189385.7267841	NA
NA	-3138.54033389251	531271900	-949.161365382388	60093240.1088407	NA
NA	6902.46392218553	757927800	-133.607686458883	162197852.922866	NA
NA	7367.33375163947	771881100	-152.049785429248	130403496.323772	NA
NA	2224.59564113393	648967300	-459.598287495421	97078092.9232019	NA
NA	5104.73790495409	527594700	-280.463022999873	71019817.7032692	NA
NA	-8878.67284483093	402548700	-1153.19294361002	48687560.1668422	NA
NA	-2036.12488280752	769951500	-619.201463243895	151401671.044203	NA
NA	-2159.01108057925	644351200	-627.77746309276	113280877.392488	NA
NA	-2316.42960333242	520485900	-692.417463694204	82553638.5424414	NA
NA	3500.3205767216	397977300	-313.994304024054	58230278.7268537	NA
NA	-13963.8168303593	406582000	-1414.88235577034	47331691.2224415	NA
NA	-6556.89693317044	640589200	-882.982059561473	133206786.336618	NA
NA	-2515.32218669396	515048400	-605.39012264026	97793345.8906422	NA
NA	-12941.2994751013	525700100	-1262.29106376185	78887116.8458446	NA
NA	-3247.42666533883	401259500	-674.240223777284	56567203.9921707	NA
NA	-10107.5046423335	272487500	-1189.92842828268	36009301.9198402	NA
NA	-7029.29293418891	508342400	-930.193352484821	115848461.378943	NA
NA	-8884.51533304297	520675500	-948.521517471148	93932161.8472546	NA
NA	-11106.3241924923	391041900	-1197.50968217009	65782759.1047433	NA
NA	-10471.4147733878	404246300	-1062.39725666359	54921086.2098409	NA
NA	-13757.074065325	273591700	-1380.32194058734	35430745.2602553	NA
NA	-19283.7891392555	512311200	-1640.00171973903	110796820.095108	NA
NA	-16703.6950808014	527011900	-1358.50781057026	90291740.2737082	NA
NA	-18202.664496186	393262100	-1603.71747763972	63683191.7856062	NA
NA	-17241.3672113733	408196400	-1362.5008725972	53442839.4226292	NA
NA	-18907.9514122835	274711100	-1620.03167324203	34878312.1332702	NA
NA	47025.4181733447	3720393800	2215.59783888412	780120117.236822	NA
NA	45981.2613176737	3125589300	2185.06648712434	566115251.771209	NA
NA	46401.7457603916	2531971100	2176.94331013903	398751800.091948	NA
NA	38413.7855102271	1937452900	1604.16336177928	266882355.547315	NA
NA	16791.1350549823	1340689200	160.905777214241	162301826.015232	NA
NA	35631.4256320712	1948866700	1561.99901854877	410561757.324173	NA
NA	34324.3031353363	1589800800	1518.25948985232	295358836.405311	NA
NA	35841.235587392	1354482300	1559.51236878281	215178977.703792	NA
NA	28246.3912861602	994948400	1076.80998072469	141774342.2759	NA
NA	10003.4166339039	755288700	-170.210045219748	92867810.0698552	NA
NA	26125.0227555589	1355904900	1002.98397710741	286897461.632149	NA
NA	27581.7199330591	1115981400	1117.13320908118	208323552.60124	NA
NA	24763.7590309058	875380600	948.253715963066	145597195.806355	NA
NA	21898.8180210889	760920100	689.024829357877	107139818.316412	NA
NA	5256.53348267486	516632100	-400.897203936693	65605084.609279	NA
NA	17700.8994743743	993421400	549.273892032586	218856194.315317	NA
NA	17991.8099689393	877242900	518.284729063344	164388254.933878	NA
NA	17991.4793199321	760849100	495.094716008251	122147823.512583	NA
NA	14535.4468828618	514462400	329.798093575919	77624000.8245758	NA
NA	-1435.42962471992	394527000	-721.79710686388	51572386.6548013	NA
NA	9977.86091552951	877885900	7.97017576932558	186969812.292229	NA
NA	9892.33292727926	758869800	11.7510261003699	139873375.041799	NA
NA	10155.8308200963	640014200	20.5169409392911	103023055.888774	NA
NA	10059.9254299157	521283600	17.7342712749887	74199785.3034595	NA
NA	-3565.08299994856	398724000	-884.314636128329	50105857.6944204	NA
NA	6321.77257290823	757967800	-163.301245906274	162208092.918603	NA
NA	7763.79247427071	636962000	-55.6716229370286	120181548.622101	NA
NA	6210.86777609971	515165400	-173.92047252354	86448166.8392435	NA
NA	5473.67530923479	393670800	-150.921419665952	59853798.3798764	NA
NA	-6374.63036665745	268392100	-928.37985043737	36913317.7109492	NA
NA	2732.12257579961	633373900	-303.393447191287	141011839.383223	NA
NA	1283.99554815752	508069800	-355.65660024574	101865101.959809	NA
NA	2516.21302033764	383705500	-327.679524936735	69892195.7105262	NA
NA	3187.44813352206	397881800	-338.633607136966	58222120.9155823	NA
NA	-8357.71858334017	270503500	-1057.9063526733	36447242.4912952	NA
NA	2923.59378967395	502556100	-295.327704526324	120984386.818664	NA
NA	-1811.41605465312	514973000	-584.221842156672	97783319.7991231	NA
NA	-4277.30568204026	387572800	-744.174669890002	67822155.9560355	NA
NA	4991.05450021387	262898100	-106.776023359987	43699533.2915142	NA
NA	-10438.14691029	272558500	-1200.92031440625	36011623.1804983	NA
NA	-6832.1694955366	508349100	-913.421430662005	115862861.158447	NA
NA	3228.15123288872	381030300	-192.162234709624	81524560.0640703	NA
NA	-11786.5273078614	390933000	-1228.71943708592	65786674.3152721	NA
NA	1482.18321100944	264459000	-349.758773797417	43116457.483748	NA
NA	-14223.215099057	273633900	-1390.72228336419	35432134.9184872	NA
NA	-19149.4548932507	512184500	-1636.9649135342	110782582.821832	NA
NA	-2819.02849701795	385013400	-583.497759677477	79390293.3371269	NA
NA	-18493.7279299469	393270900	-1608.63699547348	63681894.972456	NA
NA	-2047.28947325092	266257800	-556.782648363718	42545777.4737111	NA
NA	-18941.8085901522	274673400	-1628.93361846549	34868356.8603038	NA
